app,desc,org,star,url
"Athan: Ramadan 2018, Prayer Time, Azan, Quran, Dua",  最好的應用程序用於禮拜的時間，喚禮鬧鐘，日曆齋月，朝拜和穆斯林烏瑪    ,IslamicFinder.org,4.7,https://play.google.com/store/apps/details?id=com.athan
"Waktu Solat -Kiblat, Azan, Doa",  這個程序提供了祈禱時間，朝拜，清真寺的位置和更多的功能。    ,Kamal Kornain,4.5,https://play.google.com/store/apps/details?id=com.koranto.addin
找到朝拜方向,  找到准确的朝拜方向    ,Quran Reading,4.3,https://play.google.com/store/apps/details?id=com.quranreading.qibladirection
Prayer Now | Azan Prayer Time & Muslim Azkar,  穆斯林＃1🥇喚禮祈禱時間和Quibla與齋月聲音，Azkar，EID卡。    ,AppRocks Dev Inc.,4.7,https://play.google.com/store/apps/details?id=com.AppRocks.now.prayer
宣礼时间软件,  伊斯兰实用的应用程序，古兰经，宣礼的时间和更多的功能。    ,Maviay®,4.7,https://play.google.com/store/apps/details?id=com.mobilexsoft.ezanvakti
"Muslim: Prayer Times, Qibla, Quran, Ramadan 2018",  清真應用每天祈禱時間，可蘭經，朝拜的方向和時間表齋月！    ,Muslim Assistant,4.6,https://play.google.com/store/apps/details?id=com.hundred.qibla
禮拜時間 (朝拜方向),  她可以根據GPS定位當前位置的禮拜方向（朝向麥加的禁寺）， 並可以自動獲取當前位置的時區或手動添加所在位置的城市信息， 以此來精確禮拜時間。    ,PXL APPS,4.4,https://play.google.com/store/apps/details?id=com.muslimtoolbox.app.android.prayertimes
禱告時間 ： EAlim - 朝拜， 古蘭經， 齋月 2018,  準確的每日祈禱時間和朝拜方向的穆斯林世界各地。齋月日曆，伊斯蘭祈禱時間和朝拜方向。    ,EALIM TECHNOLOGY LIMITED,4.3,https://play.google.com/store/apps/details?id=com.eAlimTech.PTIMES
Al-Moazin Lite (Prayer Times),  鋁Moazin，是最好的禱告時間的移動應用    ,Parfield,4.6,https://play.google.com/store/apps/details?id=com.parfield.prayers.lite
"Sajda - Prayer times, Quran, Azan & Qibla",  準確的穆斯林祈禱時間，朝拜，古蘭經（30 +翻譯）。無廣告。 100％免費    ,GOOD/APP,4.8,https://play.google.com/store/apps/details?id=com.raimbekov.android.sajde
